Club_ID,Club,Club_Logo
C00334,"Atlético Tucumán",https://cdn.sofifa.org/teams/2/light/111708.png
C00335,"FC Porto",https://cdn.sofifa.org/teams/2/light/236.png
C00336,"FC Bayern München",https://cdn.sofifa.org/teams/2/light/21.png
C00337,"Göztepe SK",https://cdn.sofifa.org/teams/2/light/101026.png
C00338,"Kalmar FF",https://cdn.sofifa.org/teams/2/light/1439.png
C00339,"Charlton Athletic",https://cdn.sofifa.org/teams/2/light/89.png
C00340,"Deportivo Pasto",https://cdn.sofifa.org/teams/2/light/111723.png
C00341,"Royal Excel Mouscron",https://cdn.sofifa.org/teams/2/light/111560.png
C00342,"Tiburones Rojos de Veracruz",https://cdn.sofifa.org/teams/2/light/110145.png
C00343,"St. Patrick's Athletic",https://cdn.sofifa.org/teams/2/light/423.png
C00344,"Real Oviedo",https://cdn.sofifa.org/teams/2/light/110827.png
C00345,"Levante UD",https://cdn.sofifa.org/teams/2/light/1853.png
C00346,Napoli,https://cdn.sofifa.org/teams/2/light/48.png
C00347,"Monarcas Morelia",https://cdn.sofifa.org/teams/2/light/1028.png
C00348,"MSV Duisburg",https://cdn.sofifa.org/teams/2/light/1825.png
C00349,"TSV 1860 München",https://cdn.sofifa.org/teams/2/light/33.png
C00350,"Sanfrecce Hiroshima",https://cdn.sofifa.org/teams/2/light/113157.png
C00351,"Eintracht Frankfurt",https://cdn.sofifa.org/teams/2/light/1824.png
C00352,Patronato,https://cdn.sofifa.org/teams/2/light/110581.png
C00353,"Hamburger SV",https://cdn.sofifa.org/teams/2/light/28.png
C00354,"SK Rapid Wien",https://cdn.sofifa.org/teams/2/light/254.png
C00355,"1. FC Union Berlin",https://cdn.sofifa.org/teams/2/light/1831.png
C00356,"Sydney FC",https://cdn.sofifa.org/teams/2/light/111400.png
C00357,"Guangzhou Evergrande Taobao FC",https://cdn.sofifa.org/teams/2/light/111839.png
C00358,"Beijing Renhe FC",https://cdn.sofifa.org/teams/2/light/112537.png
C00359,"KAA Gent",https://cdn.sofifa.org/teams/2/light/674.png
C00360,"Club América",https://cdn.sofifa.org/teams/2/light/1879.png
C00361,"Santos Laguna",https://cdn.sofifa.org/teams/2/light/110144.png
C00362,"AS Saint-Étienne",https://cdn.sofifa.org/teams/2/light/1819.png
C00363,"1. FC Köln",https://cdn.sofifa.org/teams/2/light/31.png
C00364,"CD Aves",https://cdn.sofifa.org/teams/2/light/666.png
C00365,"Hannover 96",https://cdn.sofifa.org/teams/2/light/485.png
